# wave       flux     unc      tunc
  2.39525     5.12     0.08     0.08
  2.39538     5.13     0.08     0.08
  2.39550     5.14     0.08     0.08
  2.39563     5.14     0.08     0.08
  2.39575     5.15     0.07     0.07
  2.39588     5.15     0.07     0.07
  2.39600     5.14     0.07     0.07
  2.39613     5.14     0.07     0.07
  2.39625     5.13     0.07     0.07
  2.39638     5.12     0.07     0.07
  2.39650     5.11     0.07     0.07
  2.39663     5.11     0.07     0.07
  2.39675     5.11     0.07     0.07
  2.39688     5.11     0.07     0.07
  2.39700     5.11     0.07     0.07
  2.39713     5.11     0.07     0.07
  2.39725     5.11     0.07     0.07
  2.39738     5.11     0.07     0.07
  2.39750     5.11     0.07     0.07
  2.39763     5.11     0.07     0.07
  2.39775     5.10     0.07     0.07
  2.39788     5.10     0.07     0.07
  2.39800     5.09     0.07     0.07
  2.39813     5.08     0.07     0.07
  2.39825     5.08     0.07     0.07
  2.39838     5.07     0.07     0.07
  2.39850     5.06     0.07     0.07
  2.39863     5.06     0.07     0.07
  2.39875     5.05     0.07     0.07
  2.39888     5.05     0.07     0.07
  2.39900     5.05     0.07     0.07
  2.39913     5.06     0.07     0.07
  2.39925     5.06     0.07     0.07
  2.39938     5.07     0.07     0.07
  2.39950     5.07     0.07     0.07
  2.39963     5.09     0.07     0.07
  2.39975     5.09     0.07     0.07
  2.39988     5.10     0.07     0.07
  2.40000     5.11     0.07     0.07
  2.40013     5.12     0.07     0.07
  2.40025     5.12     0.07     0.07
  2.40038     5.13     0.07     0.07
  2.40050     5.13     0.07     0.07
  2.40063     5.13     0.07     0.07
  2.40075     5.13     0.07     0.07
  2.40088     5.12     0.07     0.07
  2.40100     5.11     0.07     0.07
  2.40113     5.10     0.07     0.07
  2.40125     5.09     0.07     0.07
  2.40138     5.07     0.07     0.07
  2.40150     5.07     0.07     0.07
  2.40163     5.05     0.07     0.07
  2.40175     5.05     0.07     0.07
  2.40188     5.05     0.07     0.07
  2.40200     5.05     0.07     0.07
  2.40213     5.05     0.07     0.07
  2.40225     5.05     0.07     0.07
  2.40238     5.05     0.07     0.07
  2.40250     5.06     0.07     0.07
  2.40263     5.06     0.07     0.07
  2.40275     5.07     0.07     0.07
  2.40288     5.08     0.07     0.07
  2.40300     5.09     0.07     0.07
  2.40313     5.10     0.07     0.07
  2.40325     5.11     0.07     0.07
  2.40338     5.12     0.07     0.07
  2.40350     5.14     0.07     0.07
  2.40363     5.14     0.07     0.07
  2.40375     5.15     0.07     0.07
  2.40388     5.16     0.07     0.07
  2.40400     5.15     0.07     0.07
  2.40413     5.15     0.07     0.07
  2.40425     5.16     0.07     0.07
  2.40438     5.17     0.07     0.07
  2.40450     5.17     0.07     0.07
  2.40463     5.19     0.07     0.07
  2.40475     5.21     0.07     0.07
  2.40488     5.23     0.07     0.07
  2.40500     5.26     0.07     0.07
  2.40513     5.30     0.07     0.07
  2.40525     5.35     0.07     0.07
  2.40538     5.41     0.07     0.07
  2.40550     5.49     0.07     0.07
  2.40563     5.57     0.07     0.07
  2.40575     5.65     0.07     0.07
  2.40588     5.75     0.07     0.07
  2.40600     5.84     0.07     0.07
  2.40613     5.93     0.07     0.07
  2.40625     6.01     0.07     0.07
  2.40638     6.08     0.07     0.07
  2.40650     6.13     0.07     0.07
  2.40663     6.17     0.07     0.07
  2.40675     6.19     0.07     0.07
  2.40688     6.19     0.07     0.07
  2.40700     6.18     0.07     0.07
  2.40713     6.14     0.07     0.07
  2.40725     6.10     0.06     0.06
  2.40738     6.04     0.06     0.06
  2.40750     5.96     0.06     0.06
  2.40763     5.87     0.06     0.06
  2.40775     5.77     0.06     0.06
  2.40788     5.67     0.06     0.06
  2.40800     5.58     0.06     0.06
  2.40813     5.49     0.06     0.06
  2.40825     5.40     0.06     0.06
  2.40838     5.32     0.06     0.06
  2.40850     5.26     0.06     0.06
  2.40863     5.21     0.06     0.06
  2.40875     5.18     0.06     0.06
  2.40888     5.14     0.06     0.06
  2.40900     5.12     0.06     0.06
  2.40913     5.11     0.06     0.06
  2.40925     5.11     0.06     0.06
  2.40938     5.11     0.06     0.06
  2.40950     5.11     0.06     0.06
  2.40963     5.11     0.06     0.06
  2.40975     5.12     0.06     0.06
  2.40988     5.13     0.06     0.06
  2.41000     5.13     0.06     0.06
  2.41013     5.13     0.06     0.06
  2.41025     5.13     0.06     0.06
  2.41038     5.13     0.06     0.06
  2.41050     5.13     0.06     0.06
  2.41063     5.12     0.06     0.06
  2.41075     5.12     0.06     0.06
  2.41088     5.12     0.06     0.06
  2.41100     5.12     0.06     0.06
  2.41113     5.12     0.06     0.06
  2.41125     5.13     0.06     0.06
  2.41138     5.14     0.06     0.06
  2.41150     5.14     0.06     0.06
  2.41163     5.15     0.06     0.06
  2.41175     5.17     0.06     0.06
  2.41188     5.19     0.06     0.06
  2.41200     5.20     0.06     0.06
  2.41213     5.23     0.06     0.06
  2.41225     5.25     0.06     0.06
  2.41238     5.27     0.06     0.06
  2.41250     5.31     0.06     0.06
  2.41263     5.33     0.06     0.06
  2.41275     5.37     0.06     0.06
  2.41288     5.39     0.06     0.06
  2.41300     5.41     0.06     0.06
  2.41313     5.42     0.06     0.06
  2.41325     5.43     0.06     0.06
  2.41338     5.44     0.06     0.06
  2.41350     5.43     0.06     0.06
  2.41363     5.42     0.06     0.06
  2.41375     5.40     0.06     0.06
  2.41388     5.38     0.06     0.06
  2.41400     5.36     0.06     0.06
  2.41413     5.34     0.06     0.06
  2.41425     5.31     0.06     0.06
  2.41438     5.29     0.06     0.06
  2.41450     5.26     0.06     0.06
  2.41463     5.23     0.06     0.06
  2.41475     5.20     0.06     0.06
  2.41488     5.17     0.06     0.06
  2.41500     5.15     0.06     0.06
  2.41513     5.12     0.06     0.06
  2.41525     5.10     0.06     0.06
  2.41538     5.09     0.06     0.06
  2.41550     5.08     0.06     0.06
  2.41563     5.07     0.06     0.06
  2.41575     5.06     0.06     0.06
  2.41588     5.06     0.06     0.06
  2.41600     5.06     0.06     0.06
  2.41613     5.07     0.06     0.06
  2.41625     5.07     0.06     0.06
  2.41638     5.07     0.06     0.06
  2.41650     5.08     0.06     0.06
  2.41663     5.08     0.06     0.06
  2.41675     5.08     0.06     0.06
  2.41688     5.07     0.06     0.06
  2.41700     5.06     0.06     0.06
  2.41713     5.06     0.06     0.06
  2.41725     5.05     0.06     0.06
  2.41738     5.05     0.06     0.06
  2.41750     5.04     0.06     0.06
  2.41763     5.03     0.06     0.06
  2.41775     5.03     0.05     0.05
  2.41788     5.03     0.05     0.05
  2.41800     5.03     0.05     0.05
  2.41813     5.04     0.05     0.05
  2.41825     5.04     0.05     0.05
  2.41838     5.05     0.05     0.05
  2.41850     5.06     0.05     0.05
  2.41863     5.06     0.05     0.05
  2.41875     5.07     0.05     0.05
  2.41888     5.06     0.05     0.05
  2.41900     5.06     0.05     0.05
  2.41913     5.05     0.05     0.05
  2.41925     5.04     0.05     0.05
  2.41938     5.02     0.05     0.05
  2.41950     4.99     0.05     0.05
  2.41963     4.97     0.05     0.05
  2.41975     4.96     0.05     0.05
  2.41988     4.94     0.05     0.05
  2.42000     4.93     0.05     0.05
  2.42013     4.92     0.05     0.05
  2.42025     4.91     0.05     0.05
  2.42038     4.91     0.05     0.05
  2.42050     4.91     0.05     0.05
  2.42063     4.91     0.05     0.05
  2.42075     4.90     0.05     0.05
  2.42088     4.90     0.05     0.05
  2.42100     4.89     0.05     0.05
  2.42113     4.89     0.05     0.05
  2.42125     4.88     0.05     0.05
  2.42138     4.88     0.05     0.05
  2.42150     4.88     0.05     0.05
  2.42163     4.89     0.05     0.05
  2.42175     4.90     0.05     0.05
  2.42188     4.91     0.05     0.05
  2.42200     4.94     0.05     0.05
  2.42213     4.96     0.05     0.05
  2.42225     4.99     0.05     0.05
  2.42238     5.03     0.05     0.05
  2.42250     5.08     0.05     0.05
  2.42263     5.13     0.05     0.05
  2.42275     5.17     0.05     0.05
  2.42288     5.23     0.05     0.05
  2.42300     5.27     0.05     0.05
  2.42313     5.32     0.05     0.05
  2.42325     5.37     0.05     0.05
  2.42338     5.41     0.05     0.05
  2.42350     5.44     0.05     0.05
  2.42363     5.48     0.05     0.05
  2.42375     5.50     0.05     0.05
  2.42388     5.51     0.05     0.05
  2.42400     5.52     0.05     0.05
  2.42413     5.51     0.05     0.05
  2.42425     5.49     0.05     0.05
  2.42438     5.47     0.05     0.05
  2.42450     5.43     0.05     0.05
  2.42463     5.39     0.05     0.05
  2.42475     5.33     0.05     0.05
  2.42488     5.29     0.05     0.05
  2.42500     5.23     0.05     0.05
  2.42513     5.19     0.05     0.05
  2.42525     5.15     0.05     0.05
  2.42538     5.11     0.05     0.05
  2.42550     5.08     0.05     0.05
  2.42563     5.05     0.05     0.05
  2.42575     5.03     0.05     0.05
  2.42588     5.01     0.05     0.05
  2.42600     4.99     0.05     0.05
  2.42613     4.98     0.05     0.05
  2.42625     4.96     0.05     0.05
  2.42638     4.95     0.05     0.05
  2.42650     4.94     0.05     0.05
  2.42663     4.92     0.05     0.05
  2.42675     4.92     0.05     0.05
  2.42688     4.91     0.05     0.05
  2.42700     4.90     0.05     0.05
  2.42713     4.90     0.05     0.05
  2.42725     4.89     0.05     0.05
  2.42738     4.89     0.05     0.05
  2.42750     4.88     0.05     0.05
  2.42763     4.88     0.05     0.05
  2.42775     4.88     0.05     0.05
  2.42788     4.87     0.05     0.05
  2.42800     4.87     0.05     0.05
  2.42813     4.87     0.05     0.05
  2.42825     4.87     0.05     0.05
  2.42838     4.87     0.05     0.05
  2.42850     4.87     0.05     0.05
  2.42863     4.88     0.05     0.05
  2.42875     4.88     0.05     0.05
  2.42888     4.89     0.05     0.05
  2.42900     4.89     0.05     0.05
  2.42913     4.89     0.05     0.05
  2.42925     4.90     0.05     0.05
  2.42938     4.90     0.05     0.05
  2.42950     4.91     0.05     0.05
  2.42963     4.92     0.05     0.05
  2.42975     4.92     0.05     0.05
  2.42988     4.93     0.05     0.05
  2.43000     4.94     0.05     0.05
  2.43013     4.95     0.05     0.05
  2.43025     4.95     0.05     0.05
  2.43038     4.97     0.05     0.05
  2.43050     4.97     0.05     0.05
  2.43063     4.98     0.05     0.05
  2.43075     4.99     0.05     0.05
  2.43088     4.99     0.05     0.05
  2.43100     5.00     0.05     0.05
  2.43113     5.01     0.05     0.05
  2.43125     5.01     0.05     0.05
  2.43138     5.02     0.05     0.05
  2.43150     5.02     0.05     0.05
  2.43163     5.03     0.05     0.05
  2.43175     5.04     0.05     0.05
  2.43188     5.04     0.05     0.05
  2.43200     5.04     0.05     0.05
  2.43213     5.04     0.05     0.05
  2.43225     5.04     0.05     0.05
