   3.654	  47.747	  47.176	  50.334
   3.663	  49.189	  48.678	  51.782
   3.673	  49.532	  49.053	  52.103
   3.682	  50.610	  50.154	  53.193
   3.692	  49.346	  48.856	  51.907
   3.701	  49.511	  49.014	  52.080
   3.711	  50.380	  49.900	  52.971
   3.721	  52.337	  51.903	  54.968
   3.730	  52.532	  52.111	  55.156
   3.740	  53.216	  52.830	  55.837
   3.750	  53.583	  53.221	  56.202
   3.759	  51.098	  50.698	  53.645
   3.769	  53.011	  52.652	  55.595
   3.779	  51.215	  50.828	  53.754
   3.789	  50.843	  50.444	  53.386
   3.798	  51.823	  51.422	  54.404
   3.808	  50.579	  50.133	  53.148
   3.817	  51.983	  51.549	  54.599
   3.827	  52.159	  51.710	  54.791
